City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
281,apodi,64,BR,1526430518,98,-5.66,-37.8,73.04,4.83
282,ampanihy,0,MG,1526430518,96,-24.69,44.75,60.21,7.07
283,buraydah,0,SA,1526425200,36,26.33,43.97,80.6,12.75
284,the pas,20,CA,1526425200,66,53.82,-101.24,48.2,6.93
285,sarahan,0,IN,1526430520,100,31.51,77.79,14.76,1.99
286,purranque,0,CL,1526428800,93,-40.91,-73.16,44.6,4.7
287,pyu,0,MM,1526430521,94,18.48,96.43,73.53,2.21
288,ocampo,64,PH,1526430521,89,13.56,123.37,83.48,6.91
289,whitianga,56,NZ,1526430522,96,-36.83,175.7,65.97,21.94
290,ahipara,80,NZ,1526430522,100,-35.17,173.16,62.78,16.91
291,chernyshevskiy,0,RU,1526430523,68,63.01,112.47,36.81,3.49
292,khandyga,88,RU,1526430523,96,62.65,135.58,38.43,3.6
293,talara,88,PE,1526430523,61,-4.58,-81.27,78.3,10.16
294,awbari,76,LY,1526430524,15,26.59,12.77,88.38,9.75
295,punta umbria,0,ES,1526430524,68,37.18,-6.97,62.15,3.33
296,loralai,0,PK,1526430525,53,30.37,68.6,49.91,2.71
297,gumdag,32,TM,1526430525,89,39.2,54.59,56.88,3.11
298,cururupu,44,BR,1526430526,88,-1.82,-44.87,78.21,5.5
299,sivas,0,TR,1526428200,75,39.75,37.01,41.0,4.7
300,ancud,48,CL,1526430526,87,-41.87,-73.83,43.02,2.71
301,mezen,0,RU,1526430527,91,65.85,44.24,30.06,2.59
302,karasjok,0,NO,1526428200,81,69.47,25.52,46.4,3.36
303,udachnyy,0,RU,1526430528,61,66.42,112.4,35.1,3.33
304,cabra,0,ES,1526428800,62,37.47,-4.43,59.0,5.82
305,bayir,0,TR,1526428200,72,37.27,28.22,60.8,4.7
306,chifeng,12,CN,1526430529,63,42.27,118.96,75.96,6.35
307,airai,12,TL,1526430529,78,-8.93,125.41,71.37,2.1
308,lagoa,0,PT,1526428800,55,37.14,-8.45,64.4,2.24
309,beaupre,20,CA,1526425200,46,47.04,-70.9,59.0,9.17
310,kachug,0,RU,1526430530,58,53.96,105.89,46.26,3.6
311,invermere,12,CA,1526430531,29,50.51,-116.03,70.11,1.59
312,athabasca,0,CA,1526430283,19,54.72,-113.29,78.12,14.56
313,mana,75,RS,1526428800,87,43.52,20.24,55.4,9.17
314,worthington,1,US,1526429760,33,43.62,-95.6,78.8,3.56
315,kutum,0,SD,1526430532,25,14.2,24.66,71.69,9.75
316,byron bay,0,AU,1526428800,42,-28.65,153.62,68.0,13.87
317,srednekolymsk,0,RU,1526430533,66,67.46,153.71,47.07,3.38
318,fort nelson,75,CA,1526425200,23,58.81,-122.69,64.4,12.75
319,uruzgan,12,AF,1526430534,81,32.93,66.63,35.06,0.58
320,naifaru,92,MV,1526430534,100,5.44,73.37,81.9,6.24
321,itarema,44,BR,1526430534,86,-2.92,-39.92,78.71,8.75
322,palana,0,RU,1526430535,77,59.08,159.95,51.75,3.49
323,russell,90,AR,1526428800,47,-33.01,-68.8,55.4,3.36
324,phalombe,92,MW,1526430536,93,-15.81,35.65,65.61,3.22
325,omboue,88,GA,1526430537,100,-1.57,9.26,81.95,10.83
326,bua yai,12,TH,1526430537,74,15.59,102.43,80.51,7.02
327,kailua,75,US,1526429280,74,21.39,-157.74,84.2,12.75
328,zaysan,12,KZ,1526430537,71,47.47,84.87,36.72,3.22
329,staszow,20,PL,1526430538,92,50.56,21.17,48.83,3.78
330,northam,0,GB,1526428200,87,51.04,-4.21,57.2,5.82
331,lodja,48,CD,1526430539,97,-3.52,23.6,70.38,2.33
332,marawi,0,PH,1526430539,96,8.0,124.29,75.51,2.48
333,makinsk,56,KZ,1526430540,55,52.63,70.42,42.93,14.9
334,nome,40,US,1526429700,42,30.04,-94.42,86.0,5.82
335,skibbereen,20,IE,1526428800,75,51.55,-9.27,46.4,19.46
336,baykit,92,RU,1526430541,97,61.68,96.39,37.53,9.26
337,nakamura,75,JP,1526427000,83,35.17,136.87,69.8,4.7
338,kapuskasing,90,CA,1526425200,26,49.42,-82.43,44.6,2.24
339,iqaluit,75,CA,1526426940,73,63.75,-68.52,26.6,9.17
340,ilhabela,56,BR,1526430543,98,-23.78,-45.36,73.49,3.71
341,plouzane,90,FR,1526428800,100,48.38,-4.62,51.8,8.05
342,kulhudhuffushi,80,MV,1526430543,99,6.62,73.07,85.5,7.4
343,mariinsk,76,RU,1526430544,74,56.21,87.75,38.7,12.66
344,manono,0,CD,1526430544,93,-7.3,27.4,68.22,2.89
345,xucheng,12,CN,1526430544,68,33.0,118.51,85.23,18.21
346,havoysund,32,NO,1526428200,93,71.0,24.66,41.0,3.36
347,margate,75,AU,1526428800,65,-43.03,147.26,46.4,8.05
348,vrangel,8,RU,1526430545,85,42.73,133.08,47.66,5.5
349,bagdarin,0,RU,1526430546,43,54.44,113.59,42.93,3.27
350,merano,90,IT,1526428500,80,46.67,11.16,50.0,4.7
351,calama,0,CL,1526428800,12,-22.46,-68.93,51.8,9.17
352,nyimba,80,ZM,1526430547,54,-14.56,30.81,78.8,8.14
353,quang ngai,8,VN,1526430547,80,15.12,108.8,77.67,3.22
354,muroto,0,JP,1526425200,68,33.37,134.14,69.8,5.82
355,tevaitoa,80,PF,1526430548,100,-16.78,-151.5,80.28,17.69
356,pisco,0,PE,1526428800,73,-13.71,-76.2,71.6,10.29
357,cabedelo,20,BR,1526428800,88,-6.97,-34.84,75.2,3.36
358,pecos,1,US,1526429700,11,31.42,-103.49,98.6,10.29
359,emerald,0,AU,1526430550,44,-23.53,148.16,66.29,6.02
360,waingapu,32,ID,1526430550,72,-9.65,120.26,79.7,12.66
361,can,40,IT,1526428500,100,46.08,11.97,53.6,4.7
362,tarauaca,44,BR,1526430551,95,-8.16,-70.77,74.52,3.38
363,provideniya,0,RU,1526427000,74,64.42,-173.23,37.4,5.12
364,esna,36,RO,1526430552,69,45.2,27.57,60.98,13.96
365,iracoubo,32,GF,1526430552,79,5.48,-53.21,77.85,3.33
366,coari,48,BR,1526430552,87,-4.09,-63.14,78.53,3.33
367,nikki,8,BJ,1526430553,73,9.94,3.21,78.93,5.57
368,doha,0,QA,1526425200,30,25.29,51.53,86.0,19.46
369,saldanha,0,PT,1526430553,72,41.42,-6.55,51.71,7.58
370,orshanka,32,RU,1526430554,51,56.92,47.89,56.61,8.37
371,ambilobe,8,MG,1526430554,92,-13.19,49.05,68.63,3.83
372,finote selam,24,ET,1526430555,89,10.7,37.27,53.91,3.04
373,takoradi,80,GH,1526430555,100,4.89,-1.75,79.65,6.73
374,minna,8,NG,1526430555,91,9.62,6.55,77.36,2.82
375,kjollefjord,88,NO,1526430556,93,70.95,27.35,37.17,3.71
376,puerto escondido,75,MX,1526427600,62,15.86,-97.07,86.0,5.82
377,norman wells,90,CA,1526425200,60,65.28,-126.83,42.8,4.7
378,okhotsk,92,RU,1526430557,89,59.36,143.24,33.8,15.79
379,gemena,76,CD,1526430557,94,3.25,19.78,72.59,1.99
380,kyaiklat,0,MM,1526428800,83,16.44,95.73,80.6,4.7
381,moron,75,VE,1526425200,88,10.49,-68.2,78.8,2.24
382,sistranda,20,NO,1526428200,93,63.73,8.83,48.2,2.24
383,palora,76,EC,1526430559,99,-1.7,-77.97,63.95,2.48
